dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1980-07-01,11871.02,1980-07-01,27.22,0.25,14366566.323843416,0.0008262948663173822
1980-08-01,25881782.06,1980-08-01,26.72,0.03,14389965.417465096,1.7985993231496782
1980-09-01,5113925.36,1980-09-01,26.46,-0.07,14413364.51108678,0.3548044147545399
1980-10-01,2100870.57,1980-10-01,26.5,0.02,14436008.795236792,0.1455298760065309
1980-11-01,21966.1,1980-11-01,26.57,0.11,14459407.888858473,0.00151915625929093
1980-12-01,3252.94,1980-12-01,26.48,-0.01,14482052.173008488,0.00022461871847574192
1981-01-01,331.0,1981-01-01,26.32,-0.26,14505451.266630167,2.2819007414230985e-05
1981-02-01,5003.17,1981-02-01,26.32,-0.5,14528850.360251848,0.00034436103861925065
1981-03-01,23163.94,1981-03-01,26.69,-0.47,14549985.025458528,0.0015920250061748783
1981-04-01,152937.63,1981-04-01,27.11,-0.37,14573384.119080208,0.010494311324695433
1981-05-01,12173552.19,1981-05-01,27.31,-0.26,14596028.403230222,0.834031823842292
1981-06-01,16310815.9,1981-06-01,27.09,-0.29,14619427.496851902,1.115694571727403
1981-07-01,407978.78,1981-07-01,26.75,-0.3,14642071.781001916,0.027863459905267802
1981-08-01,20453889.29,1981-08-01,26.5,-0.25,14665470.874623597,1.394697072113272
1981-09-01,656876.17,1981-09-01,26.42,-0.16,14688869.968245275,0.04471931274632082
1981-10-01,6700176.75,1981-10-01,26.41,-0.13,14711514.25239529,0.4554376004434142
1981-11-01,273938.39999999997,1981-11-01,26.37,-0.15,14734913.346016971,0.018591110349084537
1981-12-01,1093.05,1981-12-01,26.46,-0.08,14757557.630166989,7.406713410121588e-05
1982-01-01,2800.4300000000003,1982-01-01,26.56,-0.05,14780956.723788667,0.00018946202551915677
1982-02-01,946066.95,1982-02-01,26.9,0.07,14804355.817410348,0.06390463466754819
1982-03-01,4845.55,1982-03-01,27.35,0.19,14825490.482617026,0.0003268391022665615
1982-04-01,333737.37,1982-04-01,27.95,0.47,14848889.576238709,0.02247557760373198
1982-05-01,10931643.35,1982-05-01,28.23,0.66,14871533.860388722,0.7350716780544828
1982-06-01,269409.27,1982-06-01,28.1,0.72,14894932.954010405,0.018087310015548783
1982-07-01,1534022.67,1982-07-01,27.83,0.79,14917577.238160416,0.10283323126196665
1982-08-01,68700.2,1982-08-01,27.81,1.07,14940976.331782095,0.004598106474063716
1982-09-01,13695.33,1982-09-01,28.16,1.58,14964375.425403778,0.0009151955635081552
1982-10-01,25024.920000000002,1982-10-01,28.5,1.97,14987019.709553791,0.0016697729425182073
1982-11-01,50805.28,1982-11-01,28.7,2.18,15010418.803175472,0.0033846677208801182
1982-12-01,1115826.43,1982-12-01,28.76,2.23,15033063.087325484,0.07422482188215944
1983-01-01,1047312.91,1983-01-01,28.79,2.18,15056462.180947166,0.06955903036274329
1983-02-01,275249.06,1983-02-01,28.75,1.92,15079861.274568848,0.018252758098258413
1983-03-01,27780.75,1983-03-01,28.71,1.54,15100995.939775528,0.0018396634308619616
1983-04-01,153031.21,1983-04-01,28.76,1.29,15124395.033397209,0.01011817065489769
1983-05-01,7607483.35,1983-05-01,28.63,1.06,15147039.31754722,0.5022422659976227
